acteurs,date,descriptions,duree,genre,pays,public,score,titre,titre_original
"Ava DuVernay,Asante Blackk,Caleel Harris,Ethan Herisse",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,"Biography,Crime,Drama",United States,TV-MA,8.9,When They See Us,
"Joss Whedon,Nathan Fillion,Gina Torres,Alan Tudyk",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44,"Adventure,Drama,Sci-Fi",United States,TV-14,9.0,Firefly,
"John Hurt,Roger Munns",2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,Documentary,United Kingdom,TV-PG,9.0,Human Planet,
"David Attenborough,Alec Baldwin,Chadden Hunter",2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,333,Documentary,"United Kingdom,United States,Spain,Germany,Greece,Canada",TV-PG,9.0,Frozen Planet,
"Greg Daniels,Ricky Gervais,Stephen Merchant,Steve Carell,Jenna Fischer,John Krasinski",2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22,Comedy,United States,TV-14,9.0,The Office,
"Josh Grelle,Bryce Papenbrook,Yûki Kaji",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,"Animation,Action,Adventure",Japan,TV-MA,9.0,Attack on Titan,Original title: Shingeki no Kyojin
"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54,"Biography,Crime,Drama",India,TV-14,9.3,Scam 1992: The Harshad Mehta Story,
"Hailee Steinfeld,Kevin Alejandro,Jason Spisak",2021– ,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",41,"Animation,Action,Adventure","United States,France",TV-14,9.0,Arcane,Original title: Arcane: League of Legends
"David Attenborough,Pierce Brosnan,Peter Scoones",2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,Documentary,"United Kingdom,Germany",TV-G,9.0,The Blue Planet,
"Bob Kane,Eric Radomski,Bruce Timm,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,"Animation,Action,Adventure",United States,TV-PG,9.0,Batman: The Animated Series,
"Joe Brumm,David McCormack,Melanie Zanetti,Ninthe van Schie",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,"Animation,Family","Australia,United Kingdom",TV-Y,9.6,Bluey,
"Peter Coyote,Huy Duc,James Willbanks",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,"Documentary,History,War",United States,TV-MA,9.1,The Vietnam War,
"Rod Serling,Rod Serling,Robert McCord,Jay Overholts",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51,"Drama,Fantasy,Horror",United States,TV-PG,9.1,The Twilight Zone,
"Oprah Winfrey,David Attenborough,Doug Allan",2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,Documentary,"United Kingdom,United States,Greece,Italy,Germany",TV-G,9.1,Life,
"Mark Gatiss,Steven Moffat,Benedict Cumberbatch,Martin Freeman,Una Stubbs",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,88,"Crime,Drama,Mystery","United Kingdom,United States",TV-14,9.1,Sherlock,
"Hiromu Arakawa,Kent Williams,Iemasa Kayumi,Matthew Leonhart",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,"Animation,Action,Adventure",Japan,TV-14,9.1,Fullmetal Alchemist: Brotherhood,Original title: Hagane no renkinjutsushi
"Michael Jordan,Phil Jackson,Scottie Pippen",2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,"Documentary,Biography,History",United States,TV-MA,9.1,The Last Dance,
"Laurence Olivier,Averell Harriman,Albert Speer",1973–1974,,52,"Documentary,History,War",United Kingdom,TV-PG,9.2,The World at War,
David Attenborough,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",403,Documentary,"United States,United Kingdom",TV-G,9.3,Our Planet,
"Dan Harmon,Justin Roiland,Justin Roiland,Chris Parnell,Spencer Grammer",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,"Animation,Adventure,Comedy",United States,TV-14,9.1,Rick and Morty,
"Ann Druyan,Carl Sagan,Steven Soter,Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,780,Documentary,"United States,United Kingdom",TV-PG,9.3,Cosmos,
"David Benioff,D.B. Weiss,Emilia Clarke,Peter Dinklage,Kit Harington",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,"Action,Adventure,Drama","United States,United Kingdom",TV-MA,9.2,Game of Thrones,
"David Chase,James Gandolfini,Lorraine Bracco,Edie Falco",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,"Crime,Drama",United States,TV-MA,9.2,The Sopranos,
"Michael Dante DiMartino,Bryan Konietzko,Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,"Animation,Action,Adventure",United States,TV-Y7-FV,9.3,Avatar: The Last Airbender,
"David Attenborough,Peter Drost,Russell Boulter",2017–2022,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",364,Documentary,"United Kingdom,United States,China,France,Germany",TV-G,9.3,Blue Planet II,
"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,Documentary,United States,TV-PG,9.3,Cosmos: A Spacetime Odyssey,
"David Simon,Dominic West,Lance Reddick,Sonja Sohn",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,"Crime,Drama,Thriller",United States,TV-MA,9.3,The Wire,
"Sigourney Weaver,David Attenborough,Nikolay Drozdov",2006,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",538,Documentary,United Kingdom,TV-PG,9.4,Planet Earth,
"Craig Mazin,Jessie Buckley,Jared Harris,Stellan Skarsgård",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,"Drama,History,Thriller","United States,United Kingdom",TV-MA,9.4,Chernobyl,
"Scott Grimes,Damian Lewis,Ron Livingston",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,"Drama,History,War","United States,United Kingdom",TV-MA,9.4,Band of Brothers,
"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,"Crime,Drama,Thriller",United States,TV-MA,9.5,Breaking Bad,
